route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
108965.,2094,14873108_2094.,,,,,14873108,,
108965.,2667,14873108_2667.,,,,,14873108,,
4885.,2094,14873122_2094.,,,,,14873122,,
4885.,2667,14873122_2667.,,,,,14873122,,
54028.,2012,14888788_2012.,,,,,,,
54028.,2013,14888788_2013.,,,,,,,
54028.,2426,14888788_2426.,,,,,,,
54028.,2435,14888788_2435.,,,,,,,
54028.,2775,14888788_2775.,,,,,,,
54026.,2012,14891337_2012.,,,,,,,
54026.,2013,14891337_2013.,,,,,,,
54026.,2426,14891337_2426.,,,,,,,
54026.,2435,14891337_2435.,,,,,,,
54026.,2775,14891337_2775.,,,,,,,
54025.,2204,14891341_2204.,,,,,,,
54025.,2434,14891341_2434.,,,,,,,
54025.,2562,14891341_2562.,,,,,,,
54025.,2666,14891341_2666.,,,,,,,
54025.,2675,14891341_2675.,,,,,,,
54025.,2676,14891341_2676.,,,,,,,
49615.,2204,14891343_2204.,,,,,,,
49615.,2434,14891343_2434.,,,,,,,
49615.,2562,14891343_2562.,,,,,,,
49615.,2666,14891343_2666.,,,,,,,
49615.,2675,14891343_2675.,,,,,,,
49615.,2676,14891343_2676.,,,,,,,
49616.,2204,14891344_2204.,,,,,,,
49616.,2434,14891344_2434.,,,,,,,
49616.,2562,14891344_2562.,,,,,,,
49616.,2666,14891344_2666.,,,,,,,
49616.,2675,14891344_2675.,,,,,,,
49616.,2676,14891344_2676.,,,,,,,
54513.,2012,14891351_2012.,,,,,,,
54513.,2013,14891351_2013.,,,,,,,
54513.,2426,14891351_2426.,,,,,,,
54513.,2435,14891351_2435.,,,,,,,
54513.,2775,14891351_2775.,,,,,,,
54514.,2012,14891352_2012.,,,,,,,
54514.,2013,14891352_2013.,,,,,,,
54514.,2426,14891352_2426.,,,,,,,
54514.,2435,14891352_2435.,,,,,,,
54514.,2775,14891352_2775.,,,,,,,
54515.,2012,14891353_2012.,,,,,,,
54515.,2013,14891353_2013.,,,,,,,
54515.,2426,14891353_2426.,,,,,,,
54515.,2435,14891353_2435.,,,,,,,
54515.,2775,14891353_2775.,,,,,,,
77510.,2710,14891355_2710.,,,,,,,
77492.,2122,14891356_2122.,,,,,,,
77492.,2204,14891356_2204.,,,,,,,
77511.,2710,14891363_2710.,,,,,,,
6634.,2710,14891366_2710.,Rajka,,,,,,
55470.,2094,14891533_2094.,Zalaegerszeg,,,,14891533,,
55470.,2667,14891533_2667.,Zalaegerszeg,,,,14891533,,
54276.,2012,14907027_2012.,,,,,,,
54276.,2013,14907027_2013.,,,,,,,
54276.,2426,14907027_2426.,,,,,,,
54276.,2435,14907027_2435.,,,,,,,
54276.,2775,14907027_2775.,,,,,,,
49618.,2204,14909606_2204.,,,,,,,
49618.,2434,14909606_2434.,,,,,,,
49618.,2562,14909606_2562.,,,,,,,
49618.,2666,14909606_2666.,,,,,,,
49618.,2675,14909606_2675.,,,,,,,
49618.,2676,14909606_2676.,,,,,,,
49619.,2204,14909607_2204.,,,,,,,
49619.,2434,14909607_2434.,,,,,,,
49619.,2562,14909607_2562.,,,,,,,
49619.,2666,14909607_2666.,,,,,,,
49619.,2675,14909607_2675.,,,,,,,
49619.,2676,14909607_2676.,,,,,,,
6996.,2204,14909624_2204.,Hegyeshalom,,,,,,
6996.,2434,14909624_2434.,Hegyeshalom,,,,,,
6996.,2562,14909624_2562.,Hegyeshalom,,,,,,
6996.,2666,14909624_2666.,Hegyeshalom,,,,,,
6996.,2675,14909624_2675.,Hegyeshalom,,,,,,
6996.,2676,14909624_2676.,Hegyeshalom,,,,,,
73502.,2012,14909625_2012.,Hegyeshalom,,,,,,
73502.,2013,14909625_2013.,Hegyeshalom,,,,,,
73502.,2426,14909625_2426.,Hegyeshalom,,,,,,
73502.,2435,14909625_2435.,Hegyeshalom,,,,,,
73502.,2775,14909625_2775.,Hegyeshalom,,,,,,
6997.,2012,14909626_2012.,Hegyeshalom,,,,,,
6997.,2013,14909626_2013.,Hegyeshalom,,,,,,
6997.,2426,14909626_2426.,Hegyeshalom,,,,,,
6997.,2435,14909626_2435.,Hegyeshalom,,,,,,
6997.,2775,14909626_2775.,Hegyeshalom,,,,,,
6998.,2012,14909627_2012.,Hegyeshalom,,,,,,
6998.,2013,14909627_2013.,Hegyeshalom,,,,,,
6998.,2426,14909627_2426.,Hegyeshalom,,,,,,
6998.,2435,14909627_2435.,Hegyeshalom,,,,,,
6998.,2775,14909627_2775.,Hegyeshalom,,,,,,
6970.,2204,14909628_2204.,Győr,,,,14909628,,
6970.,2434,14909628_2434.,Győr,,,,14909628,,
6970.,2562,14909628_2562.,Győr,,,,14909628,,
6970.,2666,14909628_2666.,Győr,,,,14909628,,
6970.,2675,14909628_2675.,Győr,,,,14909628,,
6970.,2676,14909628_2676.,Győr,,,,14909628,,
107254.,2012,14909632_2012.,Hegyeshalom,,,,,,
107254.,2013,14909632_2013.,Hegyeshalom,,,,,,
107254.,2426,14909632_2426.,Hegyeshalom,,,,,,
107254.,2435,14909632_2435.,Hegyeshalom,,,,,,
107254.,2775,14909632_2775.,Hegyeshalom,,,,,,
6972.,2204,14909633_2204.,Győr,,,,14909633,,
6972.,2434,14909633_2434.,Győr,,,,14909633,,
6972.,2562,14909633_2562.,Győr,,,,14909633,,
6972.,2666,14909633_2666.,Győr,,,,14909633,,
6972.,2675,14909633_2675.,Győr,,,,14909633,,
6972.,2676,14909633_2676.,Győr,,,,14909633,,
107260.,2012,14909634_2012.,Hegyeshalom,,,,,,
107260.,2013,14909634_2013.,Hegyeshalom,,,,,,
107260.,2426,14909634_2426.,Hegyeshalom,,,,,,
107260.,2435,14909634_2435.,Hegyeshalom,,,,,,
107260.,2775,14909634_2775.,Hegyeshalom,,,,,,
6999.,2094,14909638_2094.,Hegyeshalom,,,,,,
6999.,2667,14909638_2667.,Hegyeshalom,,,,,,
53920.,2122,14909641_2122.,,,,,14909641,,
53920.,2204,14909641_2204.,,,,,14909641,,
6596.,2094,14909644_2094.,Rajka,,,,,,
6596.,2667,14909644_2667.,Rajka,,,,,,
6547.,2122,14909645_2122.,Hegyeshalom,,,,14909645,,
6547.,2204,14909645_2204.,Hegyeshalom,,,,14909645,,
6550.,2122,14909648_2122.,Hegyeshalom,,,,14909648,,
6550.,2204,14909648_2204.,Hegyeshalom,,,,14909648,,
38780.,2094,15154457_2094.,Záhony,,,,,,
38780.,2667,15154457_2667.,Záhony,,,,,,
38783.,2094,15155592_2094.,Záhony,,,,,,
38783.,2667,15155592_2667.,Záhony,,,,,,
6635.,2710,15210085_2710.,Rajka,,,,,,
75004.,2002,15250063_2002.,Budapest-Nyugati,,,,15250063,,
75004.,2306,15250063_2306.,Budapest-Nyugati,,,,15250063,,
75004.,2422,15250063_2422.,Budapest-Nyugati,,,,15250063,,
75004.,2425,15250063_2425.,Budapest-Nyugati,,,,15250063,,
75004.,2426,15250063_2426.,Budapest-Nyugati,,,,15250063,,
75004.,2427,15250063_2427.,Budapest-Nyugati,,,,15250063,,
