service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2001,1,1,1,1,1,0,0,20240826,20240901
2002,1,1,1,1,1,0,0,20240826,20241020
2003,1,1,1,1,1,1,1,20241202,20241208
2004,0,0,0,0,0,1,1,20241104,20241201
2005,1,1,1,1,1,0,1,20241125,20241201
2006,0,0,0,0,0,0,1,20240923,20241208
2007,0,0,0,0,1,0,0,20241104,20241201
2008,0,0,0,1,1,1,1,20241202,20241208
2009,0,0,0,0,0,1,1,20241014,20241020
2010,0,0,0,0,0,0,1,20240902,20240922
2011,0,0,0,0,1,0,0,20241028,20241103
2012,1,1,1,1,1,0,0,20240805,20240811
2013,1,1,1,0,1,0,0,20240812,20240818
2014,1,1,1,1,1,1,1,20241111,20241208
2015,1,0,0,0,0,0,0,20240902,20240908
2016,0,0,1,0,0,0,1,20241021,20241027
2017,0,0,1,0,0,0,0,20241202,20241208
2018,1,1,1,1,1,1,0,20240902,20241215
2019,1,1,0,0,0,0,0,20241014,20241020
2020,1,1,1,1,1,1,0,20240902,20241027
2021,0,0,0,0,0,1,0,20240902,20241020
2022,1,1,1,1,1,1,1,20240902,20240929
2023,1,1,1,1,1,1,1,20240805,20241117
2024,0,0,0,0,0,0,1,20240916,20240922
2025,1,1,1,1,1,0,0,20241118,20241201
2026,1,1,1,1,1,0,1,20241104,20241117
2027,1,1,1,1,1,0,0,20240805,20241006
2028,0,0,0,0,1,1,1,20240826,20240901
2029,1,0,1,0,1,0,0,20240909,20240922
2030,1,1,1,1,1,1,1,20240819,20240825
2031,1,1,1,1,0,0,0,20240805,20240818
2032,1,1,1,1,1,1,1,20240909,20241013
2033,1,1,1,1,1,1,1,20240805,20241201
2034,0,0,0,0,0,1,1,20241111,20241117
2035,0,1,0,0,0,0,0,20240819,20240825
2036,0,0,0,1,1,1,1,20240826,20240901
2037,1,0,0,0,0,1,1,20241202,20241208
2038,0,1,1,1,0,0,0,20241111,20241117
2039,1,1,1,1,0,0,0,20240923,20240929
2040,0,0,0,0,0,1,1,20240826,20240922
2041,1,1,1,1,1,0,0,20241125,20241201
2042,1,0,1,1,1,1,1,20241014,20241020
2043,1,0,0,0,0,0,1,20240909,20240915
2044,1,1,1,1,1,0,0,20240930,20241020
2045,0,0,0,1,1,0,0,20240923,20240929
2046,0,0,0,0,0,1,1,20241007,20241013
2047,1,1,1,1,1,1,1,20240930,20241110
2048,0,0,0,0,0,1,1,20240923,20240929
2049,0,0,0,1,0,0,0,20240812,20240818
2050,0,0,0,1,1,1,1,20241125,20241201
2051,1,1,1,0,0,0,0,20241125,20241201
2052,1,1,1,1,1,1,1,20241111,20241201
2053,1,1,1,1,1,1,0,20240902,20241103
2054,0,0,0,0,1,1,0,20241111,20241117
2055,1,1,1,1,1,1,0,20240826,20241013
2056,1,1,1,1,1,0,0,20240826,20241013
2057,1,1,1,1,0,0,0,20240902,20240915
2058,1,1,1,1,1,0,0,20240916,20241013
2059,1,1,1,1,1,1,1,20241007,20241027
2060,1,1,1,1,0,0,1,20241125,20241201
2061,0,0,0,0,1,1,1,20240930,20241006
2062,1,1,1,1,1,0,1,20241111,20241117
2063,1,1,1,1,1,1,1,20241014,20241124
2064,0,0,1,1,0,1,1,20241104,20241110
2065,1,1,0,0,1,1,1,20241007,20241013
2066,0,1,1,0,0,0,0,20241007,20241013
2067,0,0,0,0,0,1,1,20240826,20241006
2068,0,0,0,0,0,1,1,20250310,20250316
2069,0,0,0,0,0,1,1,20241216,20241222
2070,1,1,1,1,1,1,0,20241216,20241222
2071,0,1,1,1,1,1,0,20250421,20250427
2072,1,1,1,1,0,1,1,20250505,20250511
2073,1,1,1,1,1,0,0,20250310,20250316
2074,0,1,0,0,0,0,0,20250421,20250427
2075,1,1,1,0,0,0,0,20250414,20250420
2076,1,0,1,1,1,1,0,20241223,20250105
2077,1,1,1,1,1,0,0,20241216,20250601
2078,0,0,0,0,1,1,1,20250519,20250601
2079,0,0,1,0,0,0,1,20241230,20250105
2080,1,0,1,1,1,1,0,20241223,20241229
2081,1,1,1,1,0,0,0,20250421,20250427
2082,1,1,1,1,1,1,1,20241216,20250330
2083,0,1,1,1,1,0,0,20241223,20241229
2084,1,0,0,0,0,0,0,20250421,20250427
2085,0,1,0,0,0,0,0,20241007,20241013
2086,0,0,0,1,1,1,1,20250414,20250420
2087,1,1,1,1,1,0,0,20250224,20250302
2088,1,1,1,1,1,1,1,20241216,20250105
2089,1,0,0,0,0,0,0,20250331,20250406
2090,1,1,1,1,1,0,0,20250106,20250406
2091,1,1,1,1,1,0,1,20250407,20250413
2092,1,1,1,1,1,1,0,20250127,20250202
2093,0,0,0,0,0,1,1,20240805,20240818
2094,1,1,1,1,1,1,1,20240805,20241208
2095,0,1,1,1,0,0,0,20241028,20241103
2096,0,1,1,1,1,1,0,20241209,20241215
2097,1,1,1,1,1,0,0,20240902,20241020
2098,1,1,1,1,1,1,1,20240902,20241124
2099,0,0,0,0,0,1,1,20240902,20241020
2100,1,1,1,1,1,1,0,20240805,20240818
2101,1,1,0,1,1,1,0,20241021,20241027
2102,1,1,1,1,1,1,0,20241104,20241215
2103,0,0,0,0,1,0,0,20240805,20241027
2104,1,1,1,1,1,0,0,20241014,20241020
2105,1,1,1,1,0,0,0,20241007,20241013
2106,1,1,1,1,1,1,1,20241021,20241208
2107,0,0,0,0,0,0,1,20240805,20240818
2108,0,0,0,0,0,0,1,20241104,20241208
2109,0,0,0,0,0,1,0,20241007,20241013
2110,1,1,1,0,1,1,1,20241028,20241103
2111,1,1,1,1,0,1,1,20241104,20241201
2112,1,1,1,1,1,1,1,20241007,20241013
2113,0,0,0,0,1,0,0,20240805,20240901
2114,0,0,1,0,0,0,0,20240819,20240825
2115,1,0,0,0,0,0,0,20240826,20241215
2116,1,0,1,0,0,0,1,20240826,20240901
2117,1,0,1,0,0,1,0,20240909,20240915
2118,0,0,0,0,0,1,0,20240916,20240922
2119,1,1,1,1,1,1,0,20241104,20241117
2120,1,0,0,0,1,1,1,20240923,20241006
2121,0,0,0,1,1,1,0,20241202,20241208
2122,0,0,0,0,0,1,1,20240805,20241208
2123,1,1,1,1,0,0,0,20240902,20240922
2124,0,0,0,1,1,1,1,20240812,20240818
2125,0,0,0,1,1,1,0,20240826,20240901
2126,1,1,1,1,0,0,1,20240805,20240811
2127,0,0,0,0,0,0,1,20241014,20241201
2128,0,0,0,0,0,1,1,20241014,20241027
2129,0,0,0,0,0,1,0,20241104,20241110
2130,0,0,0,1,1,1,1,20241028,20241103
2131,0,0,0,0,0,1,1,20241104,20241110
2132,0,0,0,0,0,0,1,20241111,20241117
2133,0,0,0,0,1,1,0,20241202,20241208
2134,0,1,1,1,1,1,0,20241118,20241201
2135,1,1,1,1,0,0,0,20241118,20241201
2136,1,1,1,1,0,1,1,20240923,20241027
2137,1,1,1,1,0,0,0,20241104,20241110
2138,1,1,1,1,0,0,0,20240909,20240915
2139,1,1,1,1,1,1,1,20240916,20240922
2140,1,1,1,1,1,1,1,20240909,20240929
2141,1,1,1,1,1,1,1,20240909,20240915
2142,1,1,1,1,1,0,0,20240916,20240922
2143,0,0,1,0,0,1,1,20240923,20240929
2144,1,1,1,1,1,1,1,20240805,20240811
2145,0,1,1,1,1,0,0,20240930,20241006
2146,1,1,1,1,1,1,1,20240930,20241013
2147,0,1,1,1,1,0,0,20240916,20240922
2148,0,0,0,0,0,1,1,20240826,20240929
2149,1,1,1,1,1,0,0,20241118,20241124
2150,1,1,1,0,0,0,1,20240930,20241006
2151,0,0,1,1,1,0,0,20241118,20241124
2152,1,1,0,0,1,1,0,20241007,20241013
2153,1,1,1,1,1,1,1,20241104,20241201
2154,1,1,1,1,1,1,1,20240902,20241201
2155,0,0,0,0,1,1,0,20241125,20241201
2156,0,1,1,1,1,0,0,20241209,20241215
2157,0,0,0,0,1,0,0,20241111,20241201
2158,0,0,0,0,0,0,1,20240902,20240908
2159,1,1,0,0,1,1,1,20240812,20240818
2160,0,0,0,0,0,1,1,20240916,20240929
2161,0,0,0,0,0,0,1,20241209,20241215
2162,1,1,1,1,1,1,1,20241216,20250420
2163,0,0,0,1,1,1,1,20250428,20250504
2164,0,0,0,0,0,1,1,20250519,20250601
2165,0,0,0,0,0,1,0,20250505,20250511
2166,1,0,1,1,1,1,1,20241230,20250105
2167,1,1,1,1,1,1,1,20241216,20250511
2168,0,0,0,0,0,1,1,20250106,20250316
2169,1,1,1,0,1,1,1,20250414,20250420
2170,0,0,0,0,0,1,0,20250512,20250518
2171,0,0,0,1,0,0,0,20250526,20250601
2172,0,1,0,1,1,1,1,20241223,20241229
2173,1,0,1,1,1,0,1,20241230,20250105
2174,1,1,1,1,0,0,1,20241216,20241222
2175,1,1,0,0,0,0,1,20250428,20250504
2176,1,1,1,1,0,0,1,20250519,20250601
2177,1,1,1,1,1,1,0,20241216,20250413
2178,1,1,1,1,1,1,0,20250428,20250601
2179,0,0,0,0,0,0,1,20241209,20241222
2180,0,0,0,0,1,1,1,20250428,20250504
2181,1,1,1,1,1,0,1,20241230,20250413
2182,1,1,1,1,1,0,0,20250331,20250413
2183,0,0,0,0,0,1,1,20241230,20250413
2184,0,0,0,0,0,1,0,20250512,20250601
2185,1,0,0,0,0,1,1,20250106,20250112
2186,0,0,0,0,1,1,1,20241216,20241222
2187,1,0,0,0,1,1,1,20250421,20250427
2188,0,0,0,0,0,0,1,20250303,20250309
2189,1,1,1,1,1,1,1,20250310,20250601
2190,0,0,0,0,0,1,0,20250106,20250112
2191,0,0,0,0,1,0,1,20240826,20240901
2192,0,0,1,1,1,0,0,20240916,20240922
2193,0,0,0,0,0,0,1,20250428,20250511
2194,1,1,1,1,1,1,1,20250407,20250601
2195,1,1,1,1,1,1,0,20250331,20250406
2196,1,1,1,1,0,0,0,20250519,20250601
2197,1,1,1,1,1,0,0,20250331,20250406
2198,1,0,1,0,1,0,0,20250519,20250601
2199,1,1,1,1,1,0,0,20250519,20250525
2200,1,1,0,0,1,1,0,20241223,20241229
2201,1,1,1,1,1,1,0,20250113,20250420
2202,0,0,0,0,0,1,1,20250106,20250112
2203,0,0,0,0,0,0,1,20250127,20250202
2204,0,0,0,0,0,1,0,20241209,20241215
2205,0,1,1,1,1,0,1,20240819,20240825
2206,1,1,1,1,1,1,1,20240902,20241208
2207,0,0,0,0,0,1,0,20241125,20241201
2208,0,0,1,1,1,1,0,20240819,20240825
2209,1,1,1,1,1,1,1,20241014,20241208
2210,1,1,1,1,1,1,0,20240826,20241215
2211,1,1,1,1,1,1,1,20240805,20241124
2212,1,1,1,1,0,0,0,20241125,20241201
2213,0,0,0,0,0,0,1,20240805,20240811
2214,1,1,1,1,1,1,1,20240805,20240915
2215,1,1,1,1,1,1,1,20240923,20241208
2216,1,1,0,0,0,0,0,20241104,20241110
2217,1,1,1,1,1,1,1,20240805,20240825
2218,0,0,0,1,1,1,1,20241014,20241020
2219,0,0,0,0,1,1,0,20241028,20241103
2220,0,0,0,1,1,1,1,20241021,20241027
2221,0,0,0,0,0,1,1,20240826,20240901
2222,1,1,1,1,1,1,0,20241202,20241208
2223,1,1,1,1,1,0,0,20240923,20241020
2224,0,1,0,0,1,0,1,20240902,20240915
2225,0,0,0,0,1,0,1,20240923,20240929
2226,0,0,1,1,1,1,1,20241111,20241117
2227,1,1,1,1,1,0,0,20240902,20240922
2228,1,1,0,0,0,0,0,20241007,20241013
2229,1,1,1,1,1,1,1,20240909,20240922
2230,0,0,0,0,1,1,0,20240902,20240908
2231,0,1,1,1,0,0,0,20240923,20241006
2232,0,0,0,1,1,1,0,20240819,20240825
2233,1,1,1,1,1,1,1,20241028,20241103
2234,1,1,0,0,0,1,1,20241104,20241110
2235,1,1,1,0,0,1,0,20241111,20241117
2236,1,1,1,1,0,0,0,20241111,20241117
2237,0,0,0,0,0,0,1,20241118,20241201
2238,1,1,1,1,1,1,0,20241111,20241215
2239,0,1,0,0,0,0,0,20241014,20241020
2240,0,0,0,0,0,1,1,20240805,20240825
2241,0,0,0,1,0,1,0,20241125,20241201
2242,0,0,0,1,1,1,0,20241104,20241110
2243,0,0,0,0,1,1,1,20240909,20240915
2244,1,1,1,1,1,1,1,20240923,20240929
2245,0,0,0,0,1,1,0,20241104,20241117
2246,1,1,1,1,1,1,0,20240902,20240922
2247,1,1,0,1,1,1,1,20241202,20241208
2248,0,0,0,0,0,1,0,20241125,20241215
2249,0,1,1,1,0,0,0,20241014,20241020
2250,1,1,1,1,1,1,0,20241125,20241201
2251,0,0,0,0,1,1,1,20240902,20241020
2252,1,0,0,0,0,1,1,20240930,20241006
2253,1,1,1,1,1,0,0,20240923,20240929
2254,1,1,1,1,1,0,0,20240916,20241027
2255,0,0,0,1,1,1,1,20241007,20241013
2256,1,1,1,1,1,1,1,20241021,20241117
2257,1,1,1,1,1,1,0,20241111,20241117
2258,0,0,0,0,1,0,0,20240916,20240922
2259,0,0,1,0,0,0,0,20241007,20241013
2260,1,1,1,1,1,1,1,20240916,20240929
2261,0,0,0,0,0,0,1,20241007,20241020
2262,1,1,1,1,0,0,0,20241202,20241208
2263,1,1,1,1,1,0,1,20240805,20240825
2264,0,0,0,0,0,1,0,20241028,20241103
2265,1,1,1,1,0,0,1,20241104,20241124
2266,0,0,0,0,0,1,1,20241104,20241124
2267,0,0,0,0,0,1,0,20240819,20240825
2268,0,0,0,0,1,1,1,20241021,20241027
2269,1,0,0,1,1,1,1,20240916,20240922
2270,1,1,1,0,0,0,0,20240819,20240825
2271,1,1,1,1,1,1,0,20240902,20240908
2272,0,0,0,0,0,0,1,20240930,20241006
2273,0,0,0,0,0,1,0,20241111,20241117
2274,0,0,0,0,0,0,1,20241007,20241208
2275,0,1,1,0,0,0,0,20240902,20240908
2276,1,0,1,1,1,1,1,20241223,20241229
2277,1,0,0,0,0,0,0,20241223,20241229
2278,0,1,1,1,1,0,0,20250421,20250427
2279,1,1,1,1,1,0,1,20241216,20241222
2280,0,0,0,0,0,1,1,20250106,20250413
2281,0,0,0,0,1,1,1,20250414,20250420
2282,0,0,0,0,0,1,1,20250310,20250413
2283,1,1,1,1,1,1,1,20250106,20250601
2284,1,1,0,1,1,1,0,20241230,20250105
2285,1,1,1,1,0,1,1,20241216,20241222
2286,0,0,0,0,1,0,0,20241230,20250413
2287,0,0,0,0,1,0,0,20250505,20250511
2288,0,0,1,1,1,1,1,20241223,20241229
