route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100150.,198,S10,,,2,,00A0E3,FEFEFE
100159.,198,,9422 ,,2,,,
100160.,198,,9422 ,,2,,,
100174.,198,S12,,,2,,00A0E3,FEFEFE
10026.,198,,IC 852 TÓPART,,2,,,
10027.,198,,IC 844 TÓPART,,2,,,
10028.,198,,IC 842 TÓPART,,2,,,
10029.,198,,IC 854 TÓPART,,2,,,
10030.,198,,IC 856 TÓPART,,2,,,
100478.,198,S12,,,2,,00A0E3,FEFEFE
100480.,198,S12,,,2,,00A0E3,FEFEFE
10052.,198,,IC 850 TÓPART,,2,,,
10058.,198,,IC 848 TÓPART,,2,,,
100592.,198,S12,,,2,,00A0E3,FEFEFE
100599.,198,,9430 ,,2,,,
10064.,198,,IC 856 TÓPART,,2,,,
10065.,198,,IC 856 TÓPART,,2,,,
10068.,198,,IC 850 TÓPART,,2,,,
10069.,198,,IC 850 TÓPART,,2,,,
10076.,198,,18520 BAGOLYVONAT,,2,,,
10077.,198,,IC 848 TÓPART,,2,,,
10078.,198,,IC 848 TÓPART,,2,,,
10088.,198,,IC 852 TÓPART,,2,,,
10089.,198,,IC 852 TÓPART,,2,,,
1009.,198,,B 35242 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
101044.,198,,Sz 6337 ,,2,,,
101046.,198,,Sz 16323 ,,2,,,
101047.,198,,Sz 16323 ,,2,,,
101054.,198,,Sz 36322 ,,2,,,
101094.,198,,Sz 36358 ,,2,,,
101096.,198,,Sz 36316 ,,2,,,
101100.,198,,Sz 36312 ,,2,,,
101104.,198,,Sz 36336 ,,2,,,
101119.,198,,Sz 36326 ,,2,,,
101122.,198,,Sz 36310 ,,2,,,
101123.,198,,Sz 36318 ,,2,,,
101124.,198,,Sz 36338 ,,2,,,
101126.,198,,Sz 36320 ,,2,,,
101127.,198,,Sz 36328 ,,2,,,
101128.,198,,Sz 36334 ,,2,,,
101129.,198,,Sz 36324 ,,2,,,
101130.,198,,Sz 36314 ,,2,,,
101196.,198,,378 BÉGA,,2,,,
101199.,198,,378 BÉGA,,2,,,
101200.,198,,378 BÉGA,,2,,,
101201.,198,,378 BÉGA,,2,,,
101202.,198,,378 BÉGA,,2,,,
101234.,198,,15503 TISZA-TÓ,,2,,,
101235.,198,,15503 TISZA-TÓ,,2,,,
101236.,198,,15503 TISZA-TÓ,,2,,,
101253.,198,,Sz 6637 ,,2,,,
101268.,198,,Sz 6619 ,,2,,,
101269.,198,,Sz 6619 ,,2,,,
101270.,198,,B 6619 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
101270.1,198,,Sz 6619 ,,2,,,
101271.,198,,B 6629 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
